@relation training-set

@attribute @class@ {Social,Technology,Politics,Sports}
@attribute content string

@data


Politics,'Foreign diplomats are expressing alarm to U S government officials about what they say are inflammatory and insulting public statements by Republican presidential front runner Donald Trump according to senior U S Read more Foreign diplomats voicing alarm to U S officials about Trump'
Politics,'China s Foreign Ministry has expressed anger at the U S Commerce Department s plans to place export restrictions on Chinese telecoms equipment maker ZTE Corp for allegedly violating U S export controls on I Read more China angered by planned U S export restrictions on ZTE'
Technology,'It s Why do the tube shaped subsonic airliners we keep flying resemble the planes of the s What s happened to the supersonic airplane revolution'
Technology,'We are live with CNN s tech correspondent Laurie Segall from SXSW Ask her about latest trends and what s big in tech this'
Technology,'President Obama makes historic pitch to the tech community at SXSW'
Technology,'The Air Force needs hundreds more fighter pilots and drone pilots in order to adequately carry out current missions G Herbert Hawk Carlisle Air Force faces shortage of drone and jet pilots'
Technology,'Great Scott Nike unveils the auto lacing sneaker of your Back To the Future dreams Nike unveils auto lacing sneaker'
Technology,'This story has been knocking around on the Internet for a while now but it s not exactly what the Web would have you Penguin reunites with his best human friend'
Technology,'But what will his go to filter be Pope Francis is getting on Instagram'
Technology,'Your Instagram feed will be controlled by an algorithm much like Facebook instead of showing posts in reverse chronological Instagram is turning your feed over to the robots'
Technology,'Traditionally it s been extraordinarily difficult to figure out a dinosaur fossil s Rare pregnant T rex unearthed'
Technology,'See the results for College student D prints his own braces'
Sports,'Posing naked for Sports Illustrated Swimsuit edition last month has clearly had an effect on ski star Lindsey V Lindsey Vonn Ski star quips time to focus on beach bod and healing'
Sports,'Here are the teams President Barack Obama Obama picks Kansas to win the men s NCAA basketball tournament'
Sports,'These mothers want a ban on heading in soccer tackling in football and rugby checking in hockey for children under Moms to Congress Protect kids in contact sports'
Sports,'For the first time an official from the NFL has publicly acknowledged a connection between football and CTE NFL acknowledges football CTE link now what'
Sports,'Superstar point guard Stephen Curry is having the time of his life and there s nothing wrong with Stephen Curry is making NBA history the new way by having a blast'
Technology,'Fed up with their hefty electricity bill managers at Cochin International Airport in southern India took matters into their own The world s first solar airport no longer pays for electricity'
Technology,'Jason Dalton was reluctant to talk at first he didn t want to come across as a crazy He told investigators the Uber app made him like a puppet and that it would take over your whole Kalamazoo shooting suspect blames Uber app'
Technology,'Iran could launch a three stage rocket with a satellite on top at any minute a U S official told CNN U S official Iran rocket launch at any minute'
Technology,'A traveler s dream come true Airplane bathrooms that clean themselves It s happening'
Politics,'Russian President Vladimir Putin and Egyptian President Abdel Fattah al Sisi highlighted in a phone conversation today that the fight against terrorists should continue not only in Syria but also in Libya and Yemen the Kremlin said in a Read more Putin Sisi agree about need to fight terrorists in Libya Yemen Kremlin'
Politics,'Islamist fighters attacked army and police barracks in the Tunisian town of Ben Guerdan near the Libyan border today and at least people including civilians were killed in the clashes residents and the Interior Ministry Read more At least killed as militants Tunisian forces clash in border town'
Sports,'Denver Broncos quarterback Peyton Manning has decided to retire from the NFL bringing an end to a career that will surely land him in the Pro Football Hall of F Read more Peyton Manning retiring after year career'
Politics,'Trump frequently says he will beat either Clinton or S I am the one person that she does not want to run against he said of Clinton on S Read more Clinton Sanders both say they can beat Trump during feisty Michigan debate'
